alpha,seed,client_id,is_malicious,n_valid_classes,M_nan_fraction,n_valid_t_columns,A_observable,A_mean_t_variant
0.1,0,37,False,7,0.30000001192092896,10,-0.14261192083358765,-1.48861563205719
0.1,0,38,False,8,0.20000000298023224,10,0.8016108870506287,-1.0252765417099
0.1,0,39,False,7,0.30000001192092896,10,-0.6664966344833374,-2.217726230621338
0.1,0,40,False,8,0.20000000298023224,10,0.45703667402267456,-0.6715154051780701
0.1,0,41,False,6,0.4000000059604645,10,0.04035156965255737,-1.5855351686477661
0.1,0,42,False,8,0.20000000298023224,10,0.35415118932724,-0.6483332514762878
0.1,0,43,False,7,0.30000001192092896,10,1.2118830680847168,-1.4677879810333252
0.1,0,44,False,7,0.30000001192092896,10,1.2510221004486084,-1.677124261856079
0.1,0,45,False,8,0.20000000298023224,10,-0.5938634276390076,-1.9739806652069092
0.1,0,46,False,7,0.30000001192092896,10,0.1319408416748047,-2.4701733589172363
0.1,0,47,False,5,0.5,10,-1.100819706916809,-5.068124294281006
0.1,0,48,False,5,0.5,10,-0.7112674117088318,-2.433239221572876
0.1,0,49,False,2,0.800000011920929,8,1.4047129154205322,0.14080268144607544
0.1,0,50,False,6,0.4000000059604645,10,1.3382772207260132,-1.8685156106948853
0.1,0,51,False,6,0.4000000059604645,10,0.7924721240997314,-0.8527734875679016
0.1,0,52,False,8,0.20000000298023224,10,0.7414244413375854,-0.687264084815979
0.1,0,53,False,9,0.10000000149011612,10,2.4367644786834717,-0.9280597567558289
0.1,0,54,True,7,0.30000001192092896,10,1.7136410474777222,-1.0892244577407837
0.1,0,55,False,7,0.30000001192092896,10,-0.1041719913482666,-0.7183406352996826
0.1,0,56,True,5,0.5,10,1.8302066326141357,-0.5069207549095154
0.1,0,57,False,5,0.5,10,-0.0315554141998291,-1.4297746419906616
0.1,0,58,False,8,0.20000000298023224,10,1.444786787033081,-1.9616130590438843
0.1,0,59,False,8,0.20000000298023224,10,-0.7323393225669861,-1.92550790309906
0.1,0,60,False,6,0.4000000059604645,10,1.805509090423584,-1.567387342453003
0.1,0,61,True,6,0.4000000059604645,10,1.5424216985702515,-0.17671875655651093
0.1,0,62,False,3,0.699999988079071,10,-1.5200787782669067,-3.866086959838867
0.1,0,63,True,7,0.30000001192092896,10,3.133904457092285,-1.7438089847564697
0.1,0,64,False,8,0.20000000298023224,10,0.2633557915687561,-1.2837311029434204
0.1,0,65,True,7,0.30000001192092896,10,1.6059094667434692,-0.8866726160049438
0.1,0,66,False,6,0.4000000059604645,10,0.9308648109436035,-1.2638754844665527
0.1,0,67,False,5,0.5,10,-0.06639862060546875,-1.2149549722671509
0.1,0,68,False,8,0.20000000298023224,10,1.8848662376403809,-1.1569921970367432
0.1,0,69,False,7,0.30000001192092896,10,0.9552342295646667,-1.0406689643859863
0.1,0,70,False,6,0.4000000059604645,10,-0.11100220680236816,-1.5959599018096924
0.1,0,71,False,7,0.30000001192092896,10,2.1353063583374023,-0.42915821075439453
0.1,0,72,False,9,0.10000000149011612,10,0.7897689342498779,-0.7177993655204773
0.1,0,73,False,9,0.10000000149011612,10,0.09485840797424316,-1.0212987661361694
0.1,0,74,False,5,0.5,10,-1.249578595161438,-3.1042110919952393
0.1,0,75,False,5,0.5,10,-0.7334975004196167,-2.4827322959899902
0.1,0,76,False,8,0.20000000298023224,10,-0.03221610188484192,-0.7269164323806763
0.1,0,77,False,6,0.4000000059604645,10,0.9788920283317566,-0.6531995534896851
0.1,0,78,False,3,0.699999988079071,10,-0.03585398197174072,-3.4526100158691406
0.1,0,79,False,5,0.5,10,-0.4367745518684387,-2.722601890563965
0.1,0,80,False,7,0.30000001192092896,10,-0.7187854051589966,-1.6400436162948608
0.1,0,81,False,5,0.5,10,-0.09499835968017578,-2.0778160095214844
0.1,0,82,False,5,0.5,10,0.7562307119369507,-1.6118783950805664
0.1,0,83,False,4,0.6000000238418579,10,-0.12286406755447388,-1.0196372270584106
0.1,0,84,False,8,0.20000000298023224,10,-0.26009345054626465,-1.4525928497314453
0.1,0,85,False,7,0.30000001192092896,10,0.5557529330253601,-0.9908779263496399
0.1,0,86,False,9,0.10000000149011612,10,0.15753108263015747,-1.0265344381332397
0.1,0,87,False,6,0.4000000059604645,10,-0.0907631516456604,-1.738621473312378
0.1,0,88,False,6,0.4000000059604645,10,0.06555235385894775,-0.7307568788528442
0.1,0,89,False,2,0.800000011920929,8,-0.6048217415809631,-1.6564757823944092
0.1,0,90,False,9,0.10000000149011612,10,0.45542919635772705,-1.7304401397705078
0.1,0,91,False,5,0.5,10,0.523697555065155,-0.5668781995773315
0.1,0,92,False,9,0.10000000149011612,10,-0.636486291885376,-1.4265615940093994
0.1,0,93,False,10,0.0,10,0.17848116159439087,-0.9777921438217163
0.1,0,94,False,7,0.30000001192092896,10,1.3558554649353027,-0.47205519676208496
