alpha,seed,client_id,is_malicious,l2_bn1,l2_conv1,l2_layer1,l2_layer2,l2_layer3,l2_layer4,l2_linear,update_l2_to_global,l2_to_median,n_participations,n_local_samples
1.0,0,22,False,7.867780476036131,0.013302148564537087,9.459798504670353,17.74954269676628,23.02934484796082,35.72078415209964,0.01229912893582166,47.673404693603516,2.0324134826660156,111,500
1.0,0,23,False,7.8646315345276525,0.00501353400047891,9.592193666359757,17.992641876120306,23.14312555163105,35.79080614446216,0.0035383656634003784,47.89761734008789,1.7943816184997559,97,500
1.0,0,24,False,7.864384181562143,0.01576414771727174,9.851303950307553,18.060187031536678,23.15995582688865,35.69092200417891,0.012608057219709977,47.909114837646484,1.9280295372009277,101,500
1.0,0,25,False,7.864683387237794,0.005817984881230788,9.50146250457735,17.613473532343168,23.020661340812122,35.65485796468957,0.004574456447396525,47.57713317871094,2.6447432041168213,110,500
1.0,0,26,False,7.86274917553388,0.01420849327339861,9.606664626197402,18.030640338741975,23.10487022609834,35.63403380605332,0.01000915812160201,47.778934478759766,1.6198896169662476,92,500
1.0,0,27,False,7.8636386219724015,0.017018048157905315,9.55003609307682,17.94989397693066,23.1261408121611,35.7200651869449,0.012466857558150572,47.81178665161133,1.8897793292999268,105,500
1.0,0,28,False,7.876964400245774,0.013444744519949425,9.639770604101223,18.1254618548804,23.20384061421136,35.74290609385703,0.009745454646295658,47.95280838012695,1.8833037614822388,93,500
1.0,0,29,False,7.8641307156888125,0.008980741669973117,9.706283789332021,18.0696406098843,23.090681737502354,35.69104024058429,0.007307908503781005,47.849708557128906,1.642317771911621,98,500
1.0,0,30,True,7.884214861090609,0.006914738070069038,9.525829620274447,17.953938544660254,23.16977736542837,35.25515879307979,0.007778480134809381,47.486915588378906,3.6148264408111572,105,500
1.0,0,31,False,7.8635564150469595,0.014642437560433484,9.613836723227715,17.908369764399907,23.086521171467425,35.68118840663134,0.01155363483158095,47.760833740234375,1.6161696910858154,80,500
1.0,0,32,False,7.864834310882715,0.007332593877937087,9.623134951333212,18.078698610680174,23.13785575818744,35.70925133159091,0.004537551159095249,47.87282943725586,1.6512912511825562,105,500
1.0,0,33,True,7.885554336814168,0.013364432417035934,9.901927244879838,18.560328388161334,23.21381850329734,35.32786486081782,0.010603320641214806,47.87113571166992,3.3136651515960693,80,500
1.0,0,34,False,7.865241855667986,0.00551807711331399,9.51767861544585,17.77897808919596,23.101336943275914,35.652441195952335,0.005074952538658324,47.67920684814453,1.8362406492233276,103,500
1.0,0,35,False,7.856556708220056,0.010157713675713212,9.74086122847952,18.1039679766958,23.142616463249603,35.62800151489295,0.010421635986005547,47.8465461730957,1.977988362312317,95,500
1.0,0,36,False,7.864747653543487,0.01583229151541725,9.685912379025952,18.179048820980103,23.11545423544323,35.72068174307051,0.015165441116359635,47.92108154296875,1.7815823554992676,103,500
1.0,0,37,False,7.866682805424302,0.007240628032862222,9.683375580776252,17.99798771098408,23.104682502551295,35.72584539254625,0.006648907089697566,47.85120391845703,1.4728182554244995,100,500
1.0,0,38,False,7.857897163085966,0.013589481415438576,9.70481028790334,18.0123778449042,23.106175447296323,35.66962114677098,0.008414869688344272,47.818260192871094,1.6041680574417114,86,500
1.0,0,39,False,7.856108393773743,0.008182970670677513,9.616386911157148,18.12777696832003,23.1237170581781,35.66839698960847,0.007358840906747128,47.85129928588867,1.6997294425964355,111,500
1.0,0,40,False,7.873159350039171,0.007985568754090108,9.854981579513264,18.157574086265583,23.1604113901695,35.79300203246707,0.007179410593132408,48.024417877197266,2.0106265544891357,103,500
1.0,0,41,False,7.84737093147146,0.006650945741638153,9.66727048561935,18.197813951456205,23.15775707422866,35.742172250765776,0.008142594439978411,47.95810317993164,2.5002517700195312,100,500
1.0,0,42,False,7.874519096934496,0.007953791994319696,9.634216876340558,17.82366401941098,23.09465867113835,35.66567976292802,0.005671431511909474,47.727447509765625,1.8742841482162476,89,500
1.0,0,43,False,7.856617848248492,0.012847544739936056,9.910821269915486,18.322727447624246,23.136881993268947,35.66327994496598,0.007266850060105079,47.9880485534668,2.003422498703003,85,500
1.0,0,44,False,7.872926126745119,0.0051657917117500715,9.672483950419961,18.12381868578658,23.188575405488994,35.68932996447676,0.0037449659434837406,47.91084671020508,2.11588191986084,110,500
1.0,0,45,False,7.8729023921336125,0.013958816002697256,9.501432558806686,17.554907726066375,23.015778122930943,35.804330641482885,0.012571207003843475,47.66657257080078,2.686138868331909,98,500
1.0,0,46,False,7.863656188801772,0.012667551659824866,9.520825041665663,17.873834033309585,23.070466036457347,35.716598332682935,0.010383612453705575,47.74800109863281,1.7201894521713257,89,500
1.0,0,47,False,7.871826426006737,0.006707909227116187,9.727487285956297,18.015399261246067,23.177982605980596,35.69728456895218,0.005383613292463049,47.881690979003906,1.7259057760238647,105,500
1.0,0,48,False,7.872340646428987,0.01661323301947154,9.462736130561751,17.82097972575598,23.07051771669592,35.69558320577349,0.017132719376563375,47.702362060546875,2.058206796646118,111,500
1.0,0,49,False,7.882625212774339,0.00842833815394898,9.681073192139309,18.144049085090465,23.160485885474056,35.70904119643468,0.007987104379887965,47.922908782958984,1.8368265628814697,97,500
1.0,0,50,False,7.867274773974498,0.006229671313542356,9.588975025476062,17.907330675083983,23.103612956293734,35.68129945628811,0.005050032777172517,47.764469146728516,1.909547209739685,116,500
1.0,0,51,False,7.880841541860983,0.007513672821190752,9.879044855061588,18.169723701069138,23.268998130060883,35.80460169713919,0.00458818861433626,48.096309661865234,2.278578519821167,107,500
1.0,0,52,False,7.868068295829092,0.01118230078551657,9.659452595070817,17.946189483557063,23.089957389485686,35.713354864931084,0.00792947835241942,47.81070327758789,1.7890466451644897,108,500
1.0,0,53,False,7.866061384790935,0.0037621353046342863,9.66195415021275,18.046578966716073,23.146204949766478,35.55301587605917,0.0028207368003137696,47.756351470947266,1.7741955518722534,109,500
1.0,0,54,True,7.885273866712627,0.012875288203351914,9.645470601699433,18.41878313867233,23.213440867021014,35.35101544249935,0.008734992233464934,47.780921936035156,3.292313814163208,105,500
