run_id,bad_client_num,poison_rate,seed,client_id,is_malicious,asr_std_filtered,asr_unfiltered,n_eligible,n_total
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,17,True,1.0,1.0,216,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,18,False,0.14285714285714285,0.14,245,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,19,False,0.7718120805369127,0.836,149,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,20,False,0.0,0.0,246,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,21,False,0.2635135135135135,0.448,148,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,22,False,0.1646586345381526,0.164,249,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,23,False,0.004,0.004,250,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,24,False,0.2727272727272727,0.28,242,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,25,False,0.0794979079497908,0.08,239,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,26,False,0.07228915662650602,0.072,249,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,27,False,0.036,0.036,250,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,28,False,0.03305785123966942,0.044,242,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,29,False,0.032,0.032,250,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,30,False,0.2631578947368421,0.284,228,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,31,False,0.47572815533980584,0.532,206,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,32,False,0.19911504424778761,0.232,226,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,33,False,0.11570247933884298,0.112,242,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,34,False,0.08878504672897196,0.1,214,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,35,False,0.35121951219512193,0.396,205,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,36,False,0.0728744939271255,0.072,247,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,37,False,0.24154589371980675,0.28,207,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,38,False,0.27450980392156865,0.336,204,250
attack_a0.5_s0_e1_bad1_rho0p25_s0,1,0.25,0,39,False,0.29004329004329005,0.296,231,250
attack_a0.5_s0_e1_bad1_rho0p5_s0,1,0.5,0,0,False,0.058577405857740586,0.084,239,250
attack_a0.5_s0_e1_bad1_rho0p5_s0,1,0.5,0,1,False,0.5341365461847389,0.536,249,250
attack_a0.5_s0_e1_bad1_rho0p5_s0,1,0.5,0,2,False,0.34394904458598724,0.48,157,250
attack_a0.5_s0_e1_bad1_rho0p5_s0,1,0.5,0,3,False,0.68,0.7,200,250
attack_a0.5_s0_e1_bad1_rho0p5_s0,1,0.5,0,4,False,0.02074688796680498,0.02,241,250
attack_a0.5_s0_e1_bad1_rho0p5_s0,1,0.5,0,5,False,0.0,0.0,230,250
attack_a0.5_s0_e1_bad1_rho0p5_s0,1,0.5,0,6,False,0.06808510638297872,0.068,235,250
